position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1253,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0583,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.1442,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.0697,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.1225,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.1441,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1233,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.2747,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0376,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3241,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0543,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.2694,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0225,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.3246,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0347,"(5, 8)"
