position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1495,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0735,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.2095,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.2029,"(11, 9)"
center,BLACK,minimax_h1,3,85458,0,8.4208,"(10, 11)"
center,BLACK,alphabeta_h1,3,34161,715,3.0344,"(10, 11)"
center,WHITE,minimax_h1,2,1635,0,0.133,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1033,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.1499,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1284,"(11, 9)"
center,WHITE,minimax_h1,3,85361,0,7.1752,"(11, 9)"
center,WHITE,alphabeta_h1,3,36623,1083,3.0218,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.3067,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0415,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3434,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0617,"(5, 8)"
open_three,BLACK,minimax_h1,3,241624,0,21.8192,"(5, 4)"
open_three,BLACK,alphabeta_h1,3,10958,321,1.0145,"(5, 4)"
open_three,WHITE,minimax_h1,2,3486,0,0.277,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0261,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.3524,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0391,"(5, 8)"
open_three,WHITE,minimax_h1,3,241620,0,22.3631,"(5, 4)"
open_three,WHITE,alphabeta_h1,3,8044,233,0.7428,"(5, 4)"
